x,y
0.0,0.0
0.05,0.003659654
0.1,0.04199212
0.15,0.0672325
0.2,0.06380603
0.25,0.1093315
0.3,0.3511164
0.35,0.3861849
0.4,0.4999252999999999
0.45,0.3285379
0.5,0.5540633
0.55,0.4542401
0.6,0.4224883
0.65,0.5237074
0.7,0.422934
0.75,0.5609284
0.8,0.4366417999999999
0.85,0.419534
0.9,0.8243661999999999
0.95,1.571264
1.0,1.607977
1.05,0.8266796
1.1,0.4495416
1.15,4.778530000000002e-22
1.2,5.464998999999999e-22
1.25,5.636277e-22
1.3,4.4710930000000005e-22
1.35,5.888659e-22
1.4,6.018509e-22
1.45,6.801358e-22
1.5,3.414579e-21
